r,v_obs
0.0,0.1801470588235294
0.010101010101010102,0.22049465240641714
0.020202020202020204,0.35751633986928105
0.030303030303030304,0.4738881461675579
0.04040404040404041,0.5449539512774807
0.05050505050505051,0.5623588829471182
0.06060606060606061,0.6115479662939557
0.07070707070707072,0.6438532382650031
0.08080808080808081,0.6860294117647059
0.09090909090909091,0.7040106951871659
0.10101010101010102,0.7268181818181818
0.11111111111111112,0.7220588235294118
0.12121212121212122,0.7190953654188948
0.13131313131313133,0.7220588235294118
0.14141414141414144,0.7333957219251338
0.15151515151515152,0.7445106141630206
0.16161616161616163,0.7548425430778373
0.17171717171717174,0.8074420677361855
0.18181818181818182,0.8394506562955761
0.19191919191919193,0.8676470588235294
0.20202020202020204,0.8676470588235294
0.21212121212121213,0.8676470588235294
0.22222222222222224,0.8750490196078432
0.23232323232323235,0.884349376114082
0.24242424242424243,0.8936497326203209
0.25252525252525254,0.9029500891265597
0.26262626262626265,0.9119299234845454
0.27272727272727276,0.9150933100512932
0.2828282828282829,0.9182566966180411
0.29292929292929293,0.9213740344622697
0.30303030303030304,0.9244741532976828
0.31313131313131315,0.9264705882352942
0.32323232323232326,0.9264705882352942
0.33333333333333337,0.9264705882352942
0.3434343434343435,0.9264705882352942
0.3535353535353536,0.9264705882352942
0.36363636363636365,0.9264705882352942
0.37373737373737376,0.9264705882352942
0.38383838383838387,0.9273633392751041
0.393939393939394,0.930463458110517
0.4040404040404041,0.93356357694593
0.4141414141414142,0.9367216583603138
0.42424242424242425,0.9398850449270617
0.43434343434343436,0.9411764705882353
0.4444444444444445,0.9411764705882353
0.4545454545454546,0.940494652406417
0.4646464646464647,0.9373945335710041
0.4747474747474748,0.9342944147355912
0.48484848484848486,0.9338235294117647
0.494949494949495,0.9338235294117647
0.5050505050505051,0.9354471182412359
0.5151515151515152,0.9385472370766489
0.5252525252525253,0.9421182412358884
0.5353535353535354,0.9483184789067143
0.5454545454545455,0.9545187165775403
0.5555555555555556,0.9558823529411765
0.5656565656565657,0.9558823529411765
0.5757575757575758,0.9587076648841356
0.5858585858585859,0.9649079025549614
0.595959595959596,0.9708481877599525
0.6060606060606061,0.9739483065953655
0.6161616161616162,0.9770484254307784
0.6262626262626263,0.9779411764705882
0.6363636363636365,0.9779411764705882
0.6464646464646465,0.9779411764705882
0.6565656565656566,0.9779411764705882
0.6666666666666667,0.9779411764705882
0.6767676767676768,0.9779411764705882
0.686868686868687,0.9779411764705882
0.696969696969697,0.9799376114081997
0.7070707070707072,0.9830377302436126
0.7171717171717172,0.9852941176470589
0.7272727272727273,0.9852941176470589
0.7373737373737375,0.9852941176470589
0.7474747474747475,0.9823559120617944
0.7575757575757577,0.9792557932263815
0.7676767676767677,0.979726678550208
0.7777777777777778,0.982826797385621
0.787878787878788,0.9852941176470589
0.797979797979798,0.9852941176470589
0.8080808080808082,0.9852941176470589
0.8181818181818182,0.9907486631016044
0.8282828282828284,0.9969489007724303
0.8383838383838385,1.0
0.8484848484848485,1.0
0.8585858585858587,0.9995695247796088
0.8686868686868687,0.9964061382128608
0.8787878787878789,0.993242751646113
0.888888888888889,0.9876143790849673
0.8989898989898991,0.9814141414141413
0.9090909090909092,0.9793048128342247
0.9191919191919192,0.9824049316696376
0.9292929292929294,0.9857245928674502
0.9393939393939394,0.9920513660009459
0.9494949494949496,0.9983781391344417
0.9595959595959597,0.9976945929887107
0.9696969696969697,0.9945944741532977
0.9797979797979799,0.9914943553178848
0.98989898989899,0.9883942364824718
1.0,0.9852941176470589
